Len1,Len2,Len3,Len4,Len5,Len6,Roll, Pitch,Yaw
145.433333333,197.666666667,116.933333333,164.266666667,81.0,165.433333333,1.32333333333,-1.29333333333,-89.9333333333
142.433333333,158.333333333,123.6,163.6,79.3333333333,163.766666667,1.27,-1.26666666667,-90.0066666667
145.2,240.4,171.5,147.833333333,80.4,154.2,1.24333333333,-1.33,-89.96
102.666666667,222.1,131.5,150.833333333,83.1,150.666666667,1.17666666667,-1.36666666667,-90.0533333333
101.866666667,159.733333333,113.666666667,136.666666667,89.4,161.533333333,1.17333333333,-1.49666666667,-89.9833333333
103.7,154.833333333,161.566666667,146.566666667,84.5,196.366666667,1.17666666667,-1.52333333333,-90.0266666667
148.8,158.0,98.3,93.6333333333,91.0,209.133333333,1.06333333333,-1.57333333333,-90.1033333333
148.466666667,160.333333333,126.633333333,81.3,91.0,161.466666667,1.06333333333,-1.58,-90.1366666667
140.666666667,161.233333333,99.3333333333,129.0,89.5666666667,178.0,1.05666666667,-1.55333333333,-90.12
96.3,159.366666667,103.5,133.166666667,84.7,213.966666667,1.00333333333,-1.54333333333,-90.1133333333
105.766666667,157.966666667,114.066666667,143.066666667,94.9666666667,204.766666667,1.08666666667,-1.6,-90.05
112.5,274.666666667,122.666666667,146.333333333,90.0,160.166666667,1.08,-1.42333333333,-90.0266666667
152.9,289.766666667,150.5,143.833333333,89.4333333333,158.566666667,1.16,-1.1,-89.97
120.533333333,308.3,159.9,147.566666667,93.3,141.2,1.05333333333,-0.97,-89.8666666667
134.666666667,316.1,158.7,153.9,94.2,189.866666667,0.946666666667,-0.82,-89.85
113.666666667,317.766666667,96.7,139.433333333,72.1666666667,168.4,0.85,-0.903333333333,-89.8433333333
143.9,336.033333333,124.166666667,122.733333333,71.1666666667,146.266666667,0.783333333333,-0.85,-89.8266666667
168.9,332.766666667,145.066666667,139.333333333,78.7,159.566666667,0.41,-0.81,-89.7533333333
167.766666667,338.766666667,278.566666667,156.3,74.9666666667,160.3,-0.68,-0.2,-89.78
118.533333333,341.533333333,279.466666667,163.0,69.9666666667,151.433333333,-0.703333333333,-0.306666666667,-89.8333333333
118.033333333,231.533333333,252.133333333,157.066666667,69.1333333333,140.866666667,-0.106666666667,-0.976666666667,-89.86
134.433333333,202.466666667,172.833333333,150.566666667,80.3,146.2,0.406666666667,-1.26333333333,-89.9233333333
128.8,194.866666667,127.133333333,146.166666667,90.9,157.733333333,1.25666666667,-1.16666666667,-89.8033333333
133.8,196.6,217.2,118.1,94.5,163.533333333,2.02333333333,-0.936666666667,-89.8766666667
90.6333333333,174.066666667,162.433333333,151.1,91.6,157.166666667,3.24,-0.393333333333,-89.8466666667
89.5,162.066666667,187.1,92.8333333333,99.6666666667,159.8,3.03333333333,-0.586666666667,-89.9266666667
147.3,174.833333333,161.1,126.633333333,105.733333333,157.833333333,2.1,-0.87,-89.9933333333
126.466666667,277.7,186.166666667,135.7,99.0666666667,158.766666667,1.40666666667,-1.0,-90.05
113.2,296.066666667,144.9,130.233333333,99.0666666667,159.866666667,0.95,-0.763333333333,-90.0466666667
109.866666667,177.833333333,156.933333333,109.933333333,95.1666666667,143.2,0.846666666667,-0.136666666667,-89.93
99.0666666667,145.366666667,126.166666667,112.5,88.7,83.7333333333,0.876666666667,0.676666666667,-89.92
110.133333333,150.766666667,136.166666667,128.5,93.1,91.4666666667,0.866666666667,0.223333333333,-89.85
122.033333333,-364.433333333,123.7,131.033333333,102.233333333,122.033333333,1.00333333333,-0.39,-89.8
129.733333333,311.733333333,127.3,155.633333333,133.066666667,160.4,1.11,-1.02,-89.7766666667
